transaction_id,user_id,amount,status,timestamp
tx_1001,usr_2824,129.93,COMPLETED,2026-07-15T17:00:26Z
tx_1002,usr_3286,3683.67,COMPLETED,2026-07-19T18:25:59Z
tx_1003,usr_9935,439.26,COMPLETED,2026-07-14T12:50:22Z
tx_1004,usr_2535,1097.10,COMPLETED,2026-07-14T12:21:52Z
tx_1005,usr_4257,3581.52,FAILED,2026-07-16T21:35:49Z
tx_1006,usr_4611,2248.80,COMPLETED,2026-07-19T15:06:03Z
tx_1007,usr_1106,3795.24,COMPLETED,2026-07-16T22:02:51Z
tx_1008,usr_6574,1392.97,COMPLETED,2026-07-18T23:41:30Z
tx_1009,usr_6514,515.54,COMPLETED,2026-07-16T12:46:48Z
tx_1010,usr_6635,3020.61,PENDING,2026-07-18T18:46:29Z
tx_1011,usr_8527,2683.46,REFUNDED,2026-07-16T15:37:41Z
tx_1012,usr_2291,2762.44,PENDING,2026-07-18T02:34:42Z
tx_1013,usr_6925,2888.87,FAILED,2026-07-14T15:10:25Z
tx_1014,usr_4733,3866.48,REFUNDED,2026-07-19T13:03:52Z
tx_1015,usr_4814,4333.09,COMPLETED,2026-07-17T02:31:57Z
tx_1016,usr_6977,817.46,COMPLETED,2026-07-18T10:06:04Z
tx_1017,usr_5374,3510.59,COMPLETED,2026-07-14T18:53:55Z
tx_1018,usr_3803,2673.03,COMPLETED,2026-07-17T03:49:17Z
tx_1019,usr_7216,1353.39,PENDING,2026-07-18T12:43:15Z
tx_1020,usr_4598,3424.65,PENDING,2026-07-19T01:30:47Z
tx_1021,usr_1916,1149.10,COMPLETED,2026-07-16T06:26:28Z
tx_1022,usr_7572,1342.37,COMPLETED,2026-07-20T01:49:16Z
tx_1023,usr_6155,1067.07,COMPLETED,2026-07-19T17:20:28Z
tx_1024,usr_8517,718.64,COMPLETED,2026-07-18T20:59:48Z
tx_1025,usr_9830,1317.39,COMPLETED,2026-07-19T19:15:17Z
tx_1026,usr_7543,1813.17,REFUNDED,2026-07-15T04:38:45Z
tx_1027,usr_9348,2470.11,FAILED,2026-07-19T13:54:25Z
tx_1028,usr_2796,768.44,COMPLETED,2026-07-18T11:36:08Z
tx_1029,usr_7916,2984.06,COMPLETED,2026-07-17T23:16:57Z
tx_1030,usr_8668,2647.93,REFUNDED,2026-07-19T13:51:36Z
tx_1031,usr_1188,3403.02,COMPLETED,2026-07-19T17:21:23Z
tx_1032,usr_9797,3755.63,FAILED,2026-07-16T10:02:29Z
tx_1033,usr_2827,1471.03,COMPLETED,2026-07-14T08:58:21Z
tx_1034,usr_5315,4859.58,FAILED,2026-07-17T10:26:11Z
tx_1035,usr_2743,4353.24,COMPLETED,2026-07-18T05:33:13Z
tx_1036,usr_9317,3046.81,COMPLETED,2026-07-18T23:32:55Z
tx_1037,usr_3646,2699.20,FAILED,2026-07-17T13:44:18Z
tx_1038,usr_1009,2996.73,COMPLETED,2026-07-15T00:47:30Z
tx_1039,usr_6947,4394.22,PENDING,2026-07-16T05:17:05Z
tx_1040,usr_4923,294.34,PENDING,2026-07-20T02:24:34Z
tx_1041,usr_2290,432.84,COMPLETED,2026-07-14T18:34:47Z
tx_1042,usr_9727,3830.34,COMPLETED,2026-07-17T05:43:04Z
tx_1043,usr_3705,1328.96,PENDING,2026-07-16T22:07:26Z
tx_1044,usr_4470,4644.92,FAILED,2026-07-18T12:58:09Z
tx_1045,usr_4295,3566.18,COMPLETED,2026-07-18T10:19:17Z
tx_1046,usr_7118,2193.31,COMPLETED,2026-07-15T02:07:21Z
tx_1047,usr_5061,1127.36,COMPLETED,2026-07-17T22:10:43Z
tx_1048,usr_4770,2944.26,COMPLETED,2026-07-18T15:35:12Z
tx_1049,usr_1964,1148.56,PENDING,2026-07-19T13:41:36Z
tx_1050,usr_6413,358.93,COMPLETED,2026-07-18T09:55:37Z
tx_1051,usr_8953,1075.11,COMPLETED,2026-07-20T00:44:38Z
tx_1052,usr_8744,1218.77,COMPLETED,2026-07-16T19:46:56Z
tx_1053,usr_4119,476.16,COMPLETED,2026-07-16T12:05:53Z
tx_1054,usr_7939,2058.46,PENDING,2026-07-14T16:23:21Z
tx_1055,usr_2612,307.76,FAILED,2026-07-19T05:05:41Z
tx_1056,usr_2790,1247.04,COMPLETED,2026-07-17T01:50:02Z
tx_1057,usr_3296,2112.30,COMPLETED,2026-07-15T20:52:50Z
tx_1058,usr_2235,2218.44,PENDING,2026-07-17T16:38:48Z
tx_1059,usr_2604,257.69,REFUNDED,2026-07-19T10:15:19Z
tx_1060,usr_1241,4845.14,PENDING,2026-07-19T12:06:00Z
tx_1061,usr_4872,835.72,COMPLETED,2026-07-15T15:37:45Z
tx_1062,usr_7570,4512.70,COMPLETED,2026-07-14T08:48:50Z
tx_1063,usr_7396,1329.69,FAILED,2026-07-17T02:45:55Z
tx_1064,usr_5673,2117.92,REFUNDED,2026-07-19T02:35:07Z
tx_1065,usr_8973,778.21,COMPLETED,2026-07-14T17:01:02Z
tx_1066,usr_9883,309.48,COMPLETED,2026-07-14T15:48:09Z
tx_1067,usr_8811,2516.74,PENDING,2026-07-15T07:25:40Z
tx_1068,usr_1931,4804.09,COMPLETED,2026-07-15T11:33:45Z
tx_1069,usr_2122,2977.20,COMPLETED,2026-07-15T18:45:14Z
tx_1070,usr_7615,603.83,PENDING,2026-07-15T20:21:27Z
tx_1071,usr_1651,3098.81,COMPLETED,2026-07-17T21:30:12Z
tx_1072,usr_9565,1585.27,COMPLETED,2026-07-18T10:02:09Z
tx_1073,usr_6147,1197.24,COMPLETED,2026-07-18T10:19:19Z
tx_1074,usr_5915,2288.84,PENDING,2026-07-20T00:46:34Z
tx_1075,usr_2188,51.53,COMPLETED,2026-07-17T18:29:30Z
tx_1076,usr_2638,370.94,COMPLETED,2026-07-15T23:07:21Z
tx_1077,usr_3170,4666.63,PENDING,2026-07-19T16:33:10Z
tx_1078,usr_5002,1850.79,COMPLETED,2026-07-19T09:55:22Z
tx_1079,usr_9900,3519.18,COMPLETED,2026-07-19T06:02:32Z
tx_1080,usr_9666,44.08,PENDING,2026-07-16T04:06:00Z
tx_1081,usr_2697,4694.96,COMPLETED,2026-07-15T01:18:37Z
tx_1082,usr_2753,3713.37,COMPLETED,2026-07-16T01:32:01Z
tx_1083,usr_4450,3589.47,COMPLETED,2026-07-18T04:52:03Z
tx_1084,usr_5325,2529.52,COMPLETED,2026-07-19T20:45:36Z
tx_1085,usr_1832,466.03,COMPLETED,2026-07-16T00:47:40Z
tx_1086,usr_1722,22.71,FAILED,2026-07-18T05:17:10Z
tx_1087,usr_5291,812.10,COMPLETED,2026-07-18T15:16:12Z
tx_1088,usr_8007,2806.73,COMPLETED,2026-07-20T02:07:58Z
tx_1089,usr_3442,2730.22,PENDING,2026-07-17T21:20:02Z
tx_1090,usr_3426,2151.78,COMPLETED,2026-07-16T13:36:22Z
tx_1091,usr_1653,4495.13,COMPLETED,2026-07-15T20:50:25Z
tx_1092,usr_2684,1771.62,COMPLETED,2026-07-19T15:53:21Z
tx_1093,usr_7658,4869.32,FAILED,2026-07-19T23:19:26Z
tx_1094,usr_4878,4323.71,REFUNDED,2026-07-19T06:34:37Z
tx_1095,usr_3900,4407.67,COMPLETED,2026-07-18T19:46:11Z
tx_1096,usr_6442,3913.02,COMPLETED,2026-07-18T10:03:44Z
tx_1097,usr_5065,1337.69,FAILED,2026-07-15T00:14:33Z
tx_1098,usr_7267,4361.47,PENDING,2026-07-15T16:53:39Z
tx_1099,usr_4269,4083.85,COMPLETED,2026-07-16T04:56:47Z
tx_1100,usr_4728,1118.50,COMPLETED,2026-07-16T18:31:50Z
tx_1101,usr_6378,1396.62,COMPLETED,2026-07-19T01:07:25Z
tx_1102,usr_5573,1758.97,COMPLETED,2026-07-18T11:27:43Z
tx_1103,usr_9785,1659.09,COMPLETED,2026-07-19T16:13:40Z
tx_1104,usr_5279,896.95,REFUNDED,2026-07-15T23:09:40Z
tx_1105,usr_1626,546.47,COMPLETED,2026-07-18T18:36:07Z
tx_1106,usr_6139,2184.79,REFUNDED,2026-07-15T01:20:31Z
tx_1107,usr_7311,4498.03,COMPLETED,2026-07-14T14:57:51Z
tx_1108,usr_8144,13.45,PENDING,2026-07-17T14:55:03Z
tx_1109,usr_4228,1824.29,COMPLETED,2026-07-18T09:14:11Z
tx_1110,usr_6409,3117.66,COMPLETED,2026-07-15T02:38:59Z
tx_1111,usr_5920,2538.08,COMPLETED,2026-07-16T08:00:13Z
tx_1112,usr_7592,3487.56,COMPLETED,2026-07-15T12:26:19Z
tx_1113,usr_7888,3326.32,COMPLETED,2026-07-18T21:27:17Z
tx_1114,usr_3851,3079.50,COMPLETED,2026-07-17T16:17:56Z
tx_1115,usr_1006,1522.86,COMPLETED,2026-07-19T02:56:03Z
tx_1116,usr_6279,2327.62,COMPLETED,2026-07-15T15:37:21Z
tx_1117,usr_9375,2368.56,PENDING,2026-07-19T04:25:46Z
tx_1118,usr_3780,3295.96,COMPLETED,2026-07-18T09:10:50Z
tx_1119,usr_6491,471.47,REFUNDED,2026-07-15T18:42:18Z
tx_1120,usr_6085,1127.08,COMPLETED,2026-07-14T12:03:25Z
tx_1121,usr_1757,1227.99,COMPLETED,2026-07-19T12:15:07Z
tx_1122,usr_2193,2279.80,PENDING,2026-07-17T20:20:17Z
tx_1123,usr_4185,3593.14,COMPLETED,2026-07-16T18:42:13Z
tx_1124,usr_4997,742.12,COMPLETED,2026-07-19T18:30:10Z
tx_1125,usr_2746,3893.21,COMPLETED,2026-07-19T05:36:25Z
tx_1126,usr_9486,2325.43,COMPLETED,2026-07-19T22:06:58Z
tx_1127,usr_2988,2285.03,PENDING,2026-07-18T09:43:22Z
tx_1128,usr_9702,4939.52,COMPLETED,2026-07-20T02:51:34Z
tx_1129,usr_8251,3065.20,FAILED,2026-07-17T10:00:49Z
tx_1130,usr_7991,4153.69,COMPLETED,2026-07-19T19:09:55Z
tx_1131,usr_3607,3719.56,COMPLETED,2026-07-15T22:14:51Z
tx_1132,usr_5050,4200.12,COMPLETED,2026-07-19T01:45:25Z
tx_1133,usr_9540,2425.56,COMPLETED,2026-07-17T00:33:39Z
tx_1134,usr_2269,3569.16,COMPLETED,2026-07-16T09:24:40Z
tx_1135,usr_6238,4465.67,COMPLETED,2026-07-15T06:27:58Z
tx_1136,usr_4788,1918.26,COMPLETED,2026-07-15T15:39:32Z
tx_1137,usr_2052,2077.27,COMPLETED,2026-07-17T04:21:18Z
tx_1138,usr_7812,316.02,PENDING,2026-07-16T17:13:18Z
tx_1139,usr_1320,4284.38,FAILED,2026-07-16T15:53:49Z
tx_1140,usr_8814,34.45,COMPLETED,2026-07-18T22:13:57Z
tx_1141,usr_7389,4267.97,REFUNDED,2026-07-16T21:31:27Z
tx_1142,usr_9818,3738.84,COMPLETED,2026-07-18T00:21:18Z
tx_1143,usr_4613,2443.71,COMPLETED,2026-07-17T07:13:36Z
tx_1144,usr_1475,1947.34,COMPLETED,2026-07-19T04:44:16Z
tx_1145,usr_7624,3622.29,PENDING,2026-07-19T22:25:04Z
tx_1146,usr_3091,4903.71,COMPLETED,2026-07-19T20:34:51Z
tx_1147,usr_7455,2961.50,COMPLETED,2026-07-14T20:43:32Z
tx_1148,usr_8022,682.82,COMPLETED,2026-07-14T15:49:23Z
